INDEX,YEAR,MN,DT,MAX,MIN,RF
42933,2015,1,1,28.6,17.7,39.9
42933,2015,1,2,20.7,17.9,14.4
42933,2015,1,3,22.3,17.3,3.0
42933,2015,1,4,24.7,16.5,0.0
42933,2015,1,5,26.6,12.6,0.0
42933,2015,1,6,26.9,10.6,0.0
42933,2015,1,7,27.0,10.1,0.0
42933,2015,1,8,28.6,9.5,0.0
42933,2015,1,9,28.4,8.9,0.0
42933,2015,1,10,27.4,8.5,0.0
42933,2015,1,11,28.6,8.6,0.0
42933,2015,1,12,28.6,9.0,0.0
42933,2015,1,13,29.5,9.0,0.0
42933,2015,1,14,29.6,9.3,0.0
42933,2015,1,15,29.4,10.2,0.0
42933,2015,1,16,29.5,11.5,0.0
42933,2015,1,17,29.5,11.2,0.0
42933,2015,1,18,28.5,11.0,0.0
42933,2015,1,19,28.2,11.4,0.0
42933,2015,1,20,28.5,14.5,0.0
42933,2015,1,21,29.3,17.5,0.0
42933,2015,1,22,28.7,17.4,0.0
42933,2015,1,23,22.8,17.7,0.4
42933,2015,1,24,29.4,19.0,0.0
42933,2015,1,25,31.6,18.0,0.0
42933,2015,1,26,32.1,17.4,0.0
42933,2015,1,27,29.6,16.6,0.0
42933,2015,1,28,30.9,15.8,0.0
42933,2015,1,29,29.8,15.4,0.0
42933,2015,1,30,28.8,13.5,0.0
42933,2015,1,31,28.6,9.9,0.0
42933,2015,2,1,30.4,13.7,0.0
42933,2015,2,2,32.8,15.7,0.0
42933,2015,2,3,33.6,17.9,0.0
42933,2015,2,4,32.4,18.1,0.0
42933,2015,2,5,32.8,16.5,0.0
42933,2015,2,6,32.6,17.5,0.0
42933,2015,2,7,31.2,16.0,0.0
42933,2015,2,8,33.5,19.0,0.0
42933,2015,2,9,32.0,18.5,0.0
42933,2015,2,10,30.3,18.5,0.0
42933,2015,2,11,21.6,16.2,5.0
42933,2015,2,12,31.4,18.6,0.0
42933,2015,2,13,32.1,15.6,0.0
42933,2015,2,14,31.9,13.2,0.0
42933,2015,2,15,33.6,13.3,0.0
42933,2015,2,16,24.1,13.6,0.0
42933,2015,2,17,34.0,14.4,0.0
42933,2015,2,18,35.2,15.6,0.0
42933,2015,2,19,34.5,15.5,0.0
42933,2015,2,20,35.9,17.4,0.0
42933,2015,2,21,35.2,17.2,0.0
42933,2015,2,22,35.2,16.6,0.0
42933,2015,2,23,36.5,16.5,0.0
42933,2015,2,24,36.5,17.5,0.0
42933,2015,2,25,37.5,20.0,0.0
42933,2015,2,26,36.5,20.0,0.0
42933,2015,2,27,34.8,18.7,0.0
42933,2015,2,28,33.2,18.5,0.0
42933,2015,3,1,34.4,16.1,17.8
42933,2015,3,2,20.1,17.6,13.2
