INDEX,YEAR,MN,DT,MAX,MIN,RF
42939,2015,1,1,29.4,19.0,0.0
42939,2015,1,2,25.9,17.2,9.4
42939,2015,1,3,24.0,18.0,0.0
42939,2015,1,4,25.8,17.5,0.0
42939,2015,1,5,28.2,13.0,0.0
42939,2015,1,6,26.8,10.4,0.0
42939,2015,1,7,27.0,8.5,0.0
42939,2015,1,8,28.5,12.0,0.0
42939,2015,1,9,28.0,10.4,0.0
42939,2015,1,10,28.0,8.0,0.0
42939,2015,1,11,28.0,9.4,0.0
42939,2015,1,12,28.0,8.6,0.0
42939,2015,1,13,29.6,8.5,0.0
42939,2015,1,14,29.5,8.6,0.0
42939,2015,1,15,29.0,9.5,0.0
42939,2015,1,16,28.5,11.0,0.0
42939,2015,1,17,28.8,11.5,0.0
42939,2015,1,18,27.8,10.6,0.0
42939,2015,1,19,27.2,10.0,0.0
42939,2015,1,20,27.5,11.5,0.0
42939,2015,1,21,27.2,16.0,0.0
42939,2015,1,22,28.2,13.2,0.0
42939,2015,1,23,30.0,16.0,0.0
42939,2015,1,24,29.5,16.7,0.0
42939,2015,1,25,29.5,15.4,0.0
42939,2015,1,26,31.5,15.4,0.0
42939,2015,1,27,31.1,14.4,0.0
42939,2015,1,28,31.5,15.1,0.0
42939,2015,1,29,29.5,10.5,0.0
42939,2015,1,30,30.5,15.0,0.0
42939,2015,1,31,27.9,11.0,0.0
42939,2015,2,1,29.0,11.2,0.0
42939,2015,2,2,30.8,11.5,0.0
42939,2015,2,3,31.1,15.5,0.0
42939,2015,2,4,31.5,15.4,0.0
42939,2015,2,5,32.0,17.4,0.0
42939,2015,2,6,30.5,16.0,0.0
42939,2015,2,7,31.2,15.0,0.0
42939,2015,2,8,32.2,15.0,0.0
42939,2015,2,9,33.0,16.6,0.0
42939,2015,2,10,29.2,16.2,0.0
42939,2015,2,11,30.0,15.0,0.0
42939,2015,2,12,29.5,16.0,0.0
42939,2015,2,13,31.7,16.6,0.0
42939,2015,2,14,31.9,13.2,0.0
42939,2015,2,15,32.2,13.5,0.0
42939,2015,2,16,34.6,15.0,0.0
42939,2015,2,17,34.2,15.4,0.0
42939,2015,2,18,36.0,14.2,0.0
42939,2015,2,19,35.5,16.6,0.0
42939,2015,2,20,34.0,18.8,0.0
42939,2015,2,21,33.8,16.0,0.0
42939,2015,2,22,34.2,16.5,0.0
42939,2015,2,23,35.8,17.5,0.0
42939,2015,2,24,35.0,17.0,0.0
42939,2015,2,25,36.0,17.2,0.0
42939,2015,2,26,37.2,17.5,0.0
42939,2015,2,27,36.0,18.7,0.0
42939,2015,2,28,34.5,18.0,0.0
42939,2015,3,1,34.0,16.5,24.4
42939,2015,3,2,32.0,20.0,38.1
42939,2015,3,3,27.5,17.7,0.0
42939,2015,3,4,30.2,13.4,0.0
42939,2015,3,5,30.0,14.2,0.0
42939,2015,3,6,31.1,17.6,0.0
42939,2015,3,7,32.8,17.4,0.0
42939,2015,3,8,34.5,16.6,0.0
42939,2015,3,9,35.6,19.0,0.0
42939,2015,3,10,34.2,20.2,0.0
42939,2015,3,11,34.2,19.6,0.0
42939,2015,3,12,35.0,20.2,13.3
42939,2015,3,13,32.9,19.0,0.0
42939,2015,3,14,33.5,18.5,0.0
42939,2015,3,15,32.0,21.1,0.0
42939,2015,3,16,34.0,20.1,3.8
