INDEX,YEAR,MN,DT,MAX,MIN,RF
42935.0,2015.0,1.0,1,27.4,20.2,0.0
42935.0,2015.0,1.0,4,32.0,19.0,0.0
42935.0,2015.0,1.0,6,26.4,13.2,0.0
42935.0,2015.0,1.0,7,27.4,13.2,0.0
42935.0,2015.0,1.0,8,27.6,13.4,0.0
42935.0,2015.0,1.0,9,27.6,13.2,0.0
42935.0,2015.0,1.0,10,27.0,13.0,0.0
42935.0,2015.0,1.0,11,27.2,14.0,0.0
42935.0,2015.0,1.0,12,28.2,14.2,0.0
42935.0,2015.0,1.0,13,29.2,14.0,0.0
42935.0,2015.0,1.0,14,30.2,13.4,0.0
42935.0,2015.0,1.0,15,29.4,13.8,0.0
42935.0,2015.0,1.0,16,29.0,15.4,0.0
42935.0,2015.0,1.0,17,29.0,16.4,0.0
42935.0,2015.0,1.0,18,28.2,14.2,0.0
42935.0,2015.0,1.0,19,27.2,14.8,0.0
42935.0,2015.0,1.0,20,28.0,17.4,0.0
42935.0,2015.0,1.0,21,27.2,17.8,0.0
42935.0,2015.0,1.0,22,27.5,18.4,0.0
42935.0,2015.0,1.0,23,29.2,17.8,0.0
42935.0,2015.0,1.0,24,30.2,17.8,0.0
42935.0,2015.0,1.0,25,31.4,18.2,0.0
42935.0,2015.0,1.0,26,31.2,18.6,0.0
42935.0,2015.0,1.0,27,31.0,19.2,0.0
42935.0,2015.0,1.0,28,31.2,19.0,0.0
42935.0,2015.0,1.0,29,31.2,18.0,0.0
42935.0,2015.0,1.0,30,30.0,17.8,0.0
42935.0,2015.0,1.0,31,28.0,15.4,0.0
42935.0,2015.0,2.0,1,30.4,18.2,0.0
42935.0,2015.0,2.0,2,31.6,20.2,0.0
42935.0,2015.0,2.0,4,31.4,19.0,0.0
42935.0,2015.0,2.0,5,31.4,18.0,0.0
42935.0,2015.0,2.0,6,31.4,20.0,0.0
42935.0,2015.0,2.0,7,30.4,20.2,0.0
42935.0,2015.0,2.0,8,32.4,21.0,0.0
42935.0,2015.0,2.0,9,32.6,21.4,0.0
42935.0,2015.0,2.0,10,31.6,20.0,0.0
42935.0,2015.0,2.0,11,31.2,18.0,0.0
42935.0,2015.0,2.0,12,29.2,19.4,0.0
42935.0,2015.0,2.0,13,31.2,19.4,0.0
