INDEX,YEAR,met_week,MAX,MIN,RF,day_count
42939,2015,1,26.73,14.8,9.4,7
42939,2015,2,28.51,9.36,0.0,7
42939,2015,3,28.0,11.44,0.0,7
42939,2015,4,30.19,15.17,0.0,7
42939,2015,5,30.04,12.87,0.0,7
42939,2015,6,31.16,15.89,0.0,7
42939,2015,7,32.87,14.84,0.0,7
42939,2015,8,34.9,17.09,0.0,7
42939,2015,9,33.06,17.4,62.5,7
42939,2015,10,33.2,17.8,0.0,7
42939,2015,11,33.64,19.77,17.1,7
42939,2015,12,36.57,20.87,0.0,7
42939,2015,13,37.5,21.33,0.0,7
42939,2015,14,39.57,21.5,0.0,7
42939,2015,15,35.47,20.89,8.4,7
42939,2015,16,39.17,22.99,2.2,7
42939,2015,17,42.07,25.09,0.0,7
42939,2015,18,43.24,25.57,3.4,7
42939,2015,19,42.59,26.76,0.8,7
42939,2015,20,41.8,26.8,4.2,7
42939,2015,21,46.43,28.83,0.0,7
42939,2015,22,44.64,27.79,0.0,7
42939,2015,23,41.14,27.5,10.0,7
42939,2015,24,37.7,24.96,31.5,7
42939,2015,25,33.03,23.93,151.5,7
42939,2015,26,35.9,26.17,11.8,7
42939,2015,27,35.94,26.54,0.0,7
42939,2015,28,35.34,26.76,9.3,7
42939,2015,29,35.31,25.94,25.7,7
42939,2015,30,31.24,23.46,197.1,7
42939,2015,31,31.03,23.13,165.5,7
42939,2015,32,29.91,24.01,36.0,7
42939,2015,33,31.16,24.69,57.2,7
42939,2015,34,33.41,23.81,0.2,7
42939,2015,35,32.37,24.64,7.7,7
42939,2015,36,35.39,24.39,56.5,7
42939,2015,37,34.97,24.29,42.1,7
42939,2015,38,33.66,24.29,117.9,7
42939,2015,39,34.43,22.11,0.0,7
42939,2015,40,35.44,22.54,0.0,7
42939,2015,41,36.99,20.27,0.0,7
42939,2015,42,35.79,21.44,0.0,7
42939,2015,43,35.17,21.57,0.0,7
42939,2015,44,31.9,19.6,18.7,7
42939,2015,45,33.11,19.84,0.0,7
42939,2015,46,32.71,17.19,0.0,7
42939,2015,47,31.83,16.96,0.0,7
42939,2015,48,32.54,17.3,0.0,7
42939,2015,49,32.23,14.51,0.0,7
42939,2015,50,31.96,17.09,0.0,7
42939,2015,51,30.7,16.79,0.0,7
42939,2015,52,29.03,11.3,0.0,7
42939,2015,53,33.0,13.5,0.0,1
42939,2016,1,32.13,13.36,0.0,7
42939,2016,2,31.19,13.0,0.0,7
42939,2016,3,29.54,15.39,0.0,7
42939,2016,4,29.64,10.76,0.0,7
42939,2016,5,34.71,15.61,0.0,7
42939,2016,6,32.91,16.23,0.0,7
42939,2016,7,34.3,18.4,0.0,7
42939,2016,8,36.5,20.3,0.0,7
42939,2016,9,35.13,21.21,21.3,7
42939,2016,10,36.57,20.39,11.2,7
42939,2016,11,37.16,21.31,0.0,7
42939,2016,12,39.74,22.24,0.0,7
42939,2016,13,40.69,22.06,0.0,7
42939,2016,14,42.07,24.84,0.0,7
42939,2016,15,41.89,25.73,0.0,7
42939,2016,16,44.29,27.06,0.0,7
42939,2016,17,43.91,26.46,0.0,7
42939,2016,18,43.73,26.97,3.6,7
42939,2016,19,40.0,24.64,18.0,7
42939,2016,20,44.96,30.0,0.0,7
42939,2016,21,44.4,30.34,0.0,7
42939,2016,22,43.66,30.23,0.0,7
42939,2016,23,43.16,28.04,3.8,7
42939,2016,24,40.73,28.51,1.2,7
42939,2016,25,37.2,26.61,68.1,7
42939,2016,26,34.8,25.43,84.7,7
42939,2016,27,30.81,24.07,162.8,7
42939,2016,28,28.49,24.19,142.8,7
42939,2016,29,32.19,24.7,20.1,7
42939,2016,30,32.06,24.36,157.8,7
42939,2016,31,31.37,24.06,81.7,7
42939,2016,32,30.69,23.81,47.2,7
42939,2016,33,31.89,23.71,3.5,7
42939,2016,34,33.19,24.1,10.6,7
42939,2016,35,33.66,24.61,32.0,7
42939,2016,36,32.5,23.41,3.6,7
42939,2016,37,31.57,24.39,28.4,7
42939,2016,38,33.01,24.36,65.1,7
42939,2016,39,32.07,24.04,10.0,7
42939,2016,40,32.47,24.07,31.0,7
42939,2016,41,33.23,20.23,12.2,7
42939,2016,42,33.67,17.01,0.0,7
42939,2016,43,33.74,17.0,0.0,7
42939,2016,44,31.91,16.66,0.0,7
42939,2016,45,32.19,13.54,0.0,7
42939,2016,46,30.56,13.99,0.0,7
42939,2016,47,31.6,12.76,0.0,7
42939,2016,48,32.47,13.94,0.0,7
42939,2016,49,30.21,12.64,0.0,7
42939,2016,50,30.33,13.73,0.0,7
42939,2016,51,30.44,10.47,0.0,7
42939,2016,52,29.96,11.16,0.0,7
42939,2017,1,29.99,11.51,0.0,7
42939,2017,2,28.39,11.84,0.0,7
42939,2017,3,29.87,13.59,0.0,7
42939,2017,4,31.27,14.67,0.0,7
42939,2017,5,33.23,14.87,0.0,7
42939,2017,6,33.36,16.37,0.0,7
42939,2017,7,33.49,17.64,0.0,7
42939,2017,8,36.29,16.64,0.0,7
42939,2017,9,37.0,17.89,0.0,7
42939,2017,10,34.29,18.13,0.0,7
42939,2017,11,35.91,18.89,0.0,7
42939,2017,12,39.57,21.79,0.0,7
42939,2017,13,42.97,24.2,0.0,7
42939,2017,14,42.53,24.97,0.0,7
42939,2017,15,43.13,23.56,0.0,7
42939,2017,16,44.43,25.97,0.0,7
42939,2017,17,42.41,26.09,0.0,7
42939,2017,18,43.14,26.67,15.8,7
42939,2017,19,43.54,27.99,4.6,7
42939,2017,20,45.19,29.13,0.0,7
42939,2017,21,44.87,29.04,3.6,7
42939,2017,22,41.59,27.59,23.6,7
42939,2017,23,37.86,25.76,46.0,7
42939,2017,24,37.0,25.9,26.4,7
42939,2017,25,37.6,25.4,42.7,7
42939,2017,26,32.39,24.6,96.0,7
42939,2017,27,34.09,25.54,12.6,7
42939,2017,28,29.9,24.47,10.3,7
42939,2017,29,30.67,24.27,102.9,7
42939,2017,30,31.01,23.57,39.6,7
42939,2017,31,32.63,24.64,7.0,7
42939,2017,32,31.11,24.1,25.8,7
42939,2017,33,32.9,24.07,51.6,7
42939,2017,34,31.43,24.19,12.5,7
42939,2017,35,31.67,24.24,27.8,7
42939,2017,36,34.07,24.73,3.4,7
42939,2017,37,32.76,23.74,87.0,7
42939,2017,38,32.44,22.51,38.3,7
42939,2017,39,35.19,23.63,1.4,7
42939,2017,40,33.63,23.03,15.6,7
42939,2017,41,32.73,23.67,0.2,7
42939,2017,42,34.83,21.7,1.9,7
42939,2017,43,33.6,17.07,0.0,7
42939,2017,44,31.9,16.11,0.0,7
42939,2017,45,31.31,15.09,0.0,7
42939,2017,46,31.61,18.33,0.0,7
42939,2017,47,31.29,16.44,0.0,7
42939,2017,48,30.27,12.21,0.0,7
42939,2017,49,30.27,14.63,0.0,7
42939,2017,50,30.83,14.83,0.0,7
42939,2017,51,29.87,11.3,0.0,7
42939,2017,52,29.68,10.08,0.0,5
42939,2018,1,29.54,11.43,0.0,7
42939,2018,2,30.33,13.16,0.0,7
42939,2018,3,31.56,13.01,0.0,7
