INDEX,YEAR,met_week,MAX,MIN,RF,day_count
42935,2015,1,27.91,15.03,0.0,7
42935,2015,2,28.89,14.46,0.0,7
42935,2015,3,28.21,16.89,0.0,7
42935,2015,4,30.57,18.03,0.0,7
42935,2015,5,31.29,19.51,0.0,7
42935,2015,6,31.09,19.64,0.0,7
42935,2015,7,34.43,20.4,0.0,7
42935,2015,8,35.54,20.86,0.0,7
42935,2015,9,32.0,17.94,36.0,7
42935,2015,10,32.31,20.59,0.0,7
42935,2015,11,33.49,22.77,0.0,7
42935,2015,12,38.11,24.31,0.0,7
42935,2015,13,37.49,22.94,0.0,7
42935,2015,14,37.77,23.14,0.0,7
42935,2015,15,33.46,23.29,24.0,7
42935,2015,16,39.2,26.91,0.0,7
42935,2015,17,40.86,26.83,0.0,7
42935,2015,18,41.26,27.06,0.0,7
42935,2015,19,41.11,27.8,0.0,7
42935,2015,20,42.11,29.09,0.0,7
42935,2015,21,41.2,28.66,0.0,7
42935,2015,22,38.41,26.57,4.0,7
42935,2015,23,32.63,24.29,120.0,7
42935,2015,24,31.09,24.6,49.5,7
42935,2015,25,33.83,25.2,0.0,7
42935,2015,26,33.89,25.49,0.0,7
42935,2015,27,32.83,26.06,0.0,7
42935,2015,28,31.31,25.23,0.0,7
42935,2015,29,30.23,24.77,0.0,7
42935,2015,30,30.83,24.09,0.0,7
42935,2015,31,27.89,23.94,0.0,7
42935,2015,32,29.51,24.46,0.0,7
42935,2015,33,30.83,24.29,0.0,7
42935,2015,34,30.91,24.89,0.0,7
42935,2015,35,31.26,24.71,0.0,7
42935,2015,36,31.43,24.89,0.0,7
42935,2015,37,30.06,24.63,0.0,7
42935,2015,38,31.49,23.6,0.0,7
42935,2015,39,32.86,24.91,0.0,7
42935,2015,40,34.26,24.4,0.0,7
42935,2015,41,33.54,22.89,0.0,7
42935,2015,42,33.43,22.94,0.0,7
42935,2015,43,30.99,21.29,0.0,7
42935,2015,44,32.23,21.34,0.0,7
42935,2015,45,32.51,20.17,0.0,7
42935,2015,46,32.09,20.69,0.0,7
42935,2015,47,32.89,20.11,0.0,7
42935,2015,48,32.43,18.23,0.0,7
42935,2015,49,31.94,20.03,0.0,7
42935,2015,50,30.69,19.17,0.0,7
42935,2015,51,30.54,15.0,0.0,7
42935,2016,1,31.91,17.8,0.0,7
42935,2016,2,30.46,18.66,0.0,7
42935,2016,3,28.86,17.23,0.0,7
42935,2016,4,30.09,15.66,0.0,7
42935,2016,5,32.57,18.94,0.0,7
42935,2016,6,32.63,19.83,0.0,7
42935,2016,7,33.74,21.54,0.0,7
42935,2016,8,33.06,23.11,0.0,7
42935,2016,9,31.66,22.43,0.0,7
42935,2016,10,34.34,23.37,0.0,7
42935,2016,11,34.57,20.0,0.0,7
42935,2016,12,35.77,20.0,0.0,7
42935,2016,13,36.8,20.0,0.0,7
42935,2016,14,38.49,20.0,0.0,7
42935,2016,15,39.06,20.0,0.0,7
42935,2016,16,41.17,20.0,0.0,7
42935,2016,17,40.46,20.0,0.0,7
42935,2016,18,36.86,22.09,0.0,7
42935,2016,19,40.49,27.34,0.0,7
42935,2016,20,39.89,27.2,0.0,7
42935,2016,21,40.0,27.11,0.0,7
42935,2016,22,36.66,25.89,0.0,7
42935,2016,23,37.29,25.63,0.0,7
42935,2016,24,34.86,23.83,0.0,7
42935,2016,25,31.14,22.83,0.0,7
42935,2016,26,29.6,23.37,0.0,7
42935,2016,27,27.03,22.86,0.0,7
42935,2016,28,30.06,23.37,0.0,7
42935,2016,29,30.0,23.09,0.0,7
42935,2016,30,28.77,22.8,0.0,7
